Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Burundi,BDI,2017,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,27.9
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,30.1
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,31
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,22
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,25
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,39.2
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,48.8
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,51.8
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,61.7
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,61.8
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,72.9
Burundi,BDI,2017,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,41.8
Burundi,BDI,2010,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,46.1
Burundi,BDI,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,2.79
Burundi,BDI,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,2.74
Burundi,BDI,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,2.98
Burundi,BDI,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.3
Burundi,BDI,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.86
Burundi,BDI,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.19
Burundi,BDI,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.03
Burundi,BDI,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.66
Burundi,BDI,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.44
Burundi,BDI,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.82
Burundi,BDI,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,11.86
Burundi,BDI,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,11.59
Burundi,BDI,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.61
