Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Djibouti,DJI,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.12
Djibouti,DJI,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.13
Djibouti,DJI,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.18
Djibouti,DJI,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.35
Djibouti,DJI,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.45
Djibouti,DJI,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.43
Djibouti,DJI,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.49
Djibouti,DJI,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.67
Djibouti,DJI,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.28
Djibouti,DJI,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.62
Djibouti,DJI,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.75
Djibouti,DJI,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.86
Djibouti,DJI,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,1.15
Djibouti,DJI,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.2
Djibouti,DJI,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.79
Djibouti,DJI,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.3
Djibouti,DJI,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32
Djibouti,DJI,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.8
Djibouti,DJI,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.5
Djibouti,DJI,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.3
Djibouti,DJI,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.2
Djibouti,DJI,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31
Djibouti,DJI,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31
Djibouti,DJI,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.9
Djibouti,DJI,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31
Djibouti,DJI,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.3
Djibouti,DJI,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.7
Djibouti,DJI,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.2
Djibouti,DJI,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.7
Djibouti,DJI,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.3
Djibouti,DJI,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.2
Djibouti,DJI,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35
Djibouti,DJI,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.8
Djibouti,DJI,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.6
Djibouti,DJI,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.2
Djibouti,DJI,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52
Djibouti,DJI,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52
Djibouti,DJI,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52
Djibouti,DJI,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52
Djibouti,DJI,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,51.9
Djibouti,DJI,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,51.9
Djibouti,DJI,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52
Djibouti,DJI,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52.1
Djibouti,DJI,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52.4
Djibouti,DJI,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52.8
Djibouti,DJI,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,53.3
Djibouti,DJI,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54
Djibouti,DJI,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.7
Djibouti,DJI,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,55.4
Djibouti,DJI,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,56.2
