Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,44.6
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,29.1
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,51.7
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,51
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,70.7
Eritrea,ERI,2002,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,47.9
Eritrea,ERI,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.5
Eritrea,ERI,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.5
Eritrea,ERI,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.49
Eritrea,ERI,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.74
Eritrea,ERI,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.55
Eritrea,ERI,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.44
Eritrea,ERI,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.42
Eritrea,ERI,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.38
Eritrea,ERI,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.08
Eritrea,ERI,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.57
Eritrea,ERI,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.39
Eritrea,ERI,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.37
Eritrea,ERI,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.29
Eritrea,ERI,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.44
Eritrea,ERI,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,2.61
Eritrea,ERI,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37
Eritrea,ERI,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.8
Eritrea,ERI,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.6
Eritrea,ERI,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.5
Eritrea,ERI,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.3
Eritrea,ERI,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.2
Eritrea,ERI,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.2
Eritrea,ERI,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.2
Eritrea,ERI,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.4
Eritrea,ERI,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.7
Eritrea,ERI,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.1
Eritrea,ERI,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.6
Eritrea,ERI,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.1
Eritrea,ERI,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.6
Eritrea,ERI,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.1
Eritrea,ERI,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.6
Eritrea,ERI,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40
Eritrea,ERI,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40.3
Eritrea,ERI,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40.7
Eritrea,ERI,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,41.2
Eritrea,ERI,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.8
Eritrea,ERI,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.8
Eritrea,ERI,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.7
Eritrea,ERI,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.7
Eritrea,ERI,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.6
Eritrea,ERI,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.7
Eritrea,ERI,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.8
Eritrea,ERI,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,49
Eritrea,ERI,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,49.4
Eritrea,ERI,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,49.9
Eritrea,ERI,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,50.6
Eritrea,ERI,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,51.3
Eritrea,ERI,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,52.1
Eritrea,ERI,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,53
Eritrea,ERI,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,53.8
Eritrea,ERI,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.7
Eritrea,ERI,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,55.7
Eritrea,ERI,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,56.8
Eritrea,ERI,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.1
Eritrea,ERI,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.5
Eritrea,ERI,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.7
Eritrea,ERI,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.4
Eritrea,ERI,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.2
Eritrea,ERI,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.1
Eritrea,ERI,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.9
Eritrea,ERI,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.7
Eritrea,ERI,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.7
