Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2014,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,25.5
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,21
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,30.9
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,45.9
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,13.4
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,16.3
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,21.8
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,30.7
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,39.4
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,33.3
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,41.7
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,55.1
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,41.8
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,52.6
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,67.9
Kenya,KEN,2014,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,15.1
Kenya,KEN,2009,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,22.7
Kenya,KEN,2003,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,29.4
Kenya,KEN,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.07
Kenya,KEN,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.07
Kenya,KEN,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.27
Kenya,KEN,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.18
Kenya,KEN,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.5
Kenya,KEN,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.78
Kenya,KEN,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.77
Kenya,KEN,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.29
Kenya,KEN,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.01
Kenya,KEN,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.83
Kenya,KEN,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.55
Kenya,KEN,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.53
Kenya,KEN,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.37
