Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Rwanda,RWA,2015,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,20.7
Rwanda,RWA,2020,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,30.8
Rwanda,RWA,2015,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,20.4
Rwanda,RWA,2010,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,32.7
Rwanda,RWA,2005,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,7.3
Rwanda,RWA,2000,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,11.7
Rwanda,RWA,2020,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,17.9
Rwanda,RWA,2015,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,8.9
Rwanda,RWA,2010,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,18.8
Rwanda,RWA,2005,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,10.7
Rwanda,RWA,2000,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,22.4
Rwanda,RWA,2020,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,37.6
Rwanda,RWA,2015,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,22.3
Rwanda,RWA,2010,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,35.8
Rwanda,RWA,2005,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,26.3
Rwanda,RWA,2000,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,36.6
Rwanda,RWA,2020,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,39.9
Rwanda,RWA,2015,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,29.4
