Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Sudan,SSD,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.6
South Sudan,SSD,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.4
South Sudan,SSD,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.2
South Sudan,SSD,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35
South Sudan,SSD,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.8
South Sudan,SSD,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.7
South Sudan,SSD,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.6
South Sudan,SSD,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.7
South Sudan,SSD,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.8
South Sudan,SSD,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.1
South Sudan,SSD,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.6
South Sudan,SSD,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.1
South Sudan,SSD,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.6
South Sudan,SSD,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.2
South Sudan,SSD,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.6
South Sudan,SSD,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.1
South Sudan,SSD,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.4
South Sudan,SSD,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.7
South Sudan,SSD,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.1
South Sudan,SSD,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.5
South Sudan,SSD,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,60.5
South Sudan,SSD,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,60.2
South Sudan,SSD,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.9
South Sudan,SSD,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.5
South Sudan,SSD,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.1
South Sudan,SSD,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.7
South Sudan,SSD,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.4
South Sudan,SSD,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.4
South Sudan,SSD,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.8
South Sudan,SSD,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.5
South Sudan,SSD,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,60.4
South Sudan,SSD,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,61.4
South Sudan,SSD,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,62.4
South Sudan,SSD,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,63.5
South Sudan,SSD,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.6
South Sudan,SSD,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,65.7
South Sudan,SSD,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,66.9
South Sudan,SSD,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,68.1
South Sudan,SSD,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,69.3
South Sudan,SSD,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,70.7
South Sudan,SSD,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.2
South Sudan,SSD,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.9
South Sudan,SSD,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.7
South Sudan,SSD,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.5
South Sudan,SSD,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.3
South Sudan,SSD,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.1
South Sudan,SSD,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34
South Sudan,SSD,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34
South Sudan,SSD,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.2
South Sudan,SSD,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.5
South Sudan,SSD,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.9
South Sudan,SSD,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.4
South Sudan,SSD,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36
South Sudan,SSD,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.5
South Sudan,SSD,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,37
South Sudan,SSD,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,37.4
South Sudan,SSD,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,37.7
South Sudan,SSD,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,38
South Sudan,SSD,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,38.4
South Sudan,SSD,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,38.8
South Sudan,SSD,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,61.3045825239178
