Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tanzania,TZA,2016,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,29.6
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,42
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,38.7
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,45.9
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,20.2
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,17.8
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,19.6
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,40.9
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,36.8
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,42.8
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,47.9
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,39.8
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,47.2
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,58
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,53.5
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,59.6
Tanzania,TZA,2016,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,30.5
Tanzania,TZA,2010,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,30
Tanzania,TZA,2005,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,29
Tanzania,TZA,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.12
Tanzania,TZA,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.02
Tanzania,TZA,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.52
Tanzania,TZA,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.13
Tanzania,TZA,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.11
Tanzania,TZA,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.27
Tanzania,TZA,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.05
Tanzania,TZA,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.74
Tanzania,TZA,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.71
Tanzania,TZA,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.63
Tanzania,TZA,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.79
Tanzania,TZA,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.44
Tanzania,TZA,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,16.31
Tanzania,TZA,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,14.56
Tanzania,TZA,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,14.4
Tanzania,TZA,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.9
Tanzania,TZA,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39
Tanzania,TZA,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.1
Tanzania,TZA,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.5
Tanzania,TZA,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.7
Tanzania,TZA,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,39.8
Tanzania,TZA,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40
Tanzania,TZA,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40.3
Tanzania,TZA,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,40.8
Tanzania,TZA,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,41.4
Tanzania,TZA,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,42.2
Tanzania,TZA,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,43
Tanzania,TZA,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,43.8
Tanzania,TZA,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,44.6
Tanzania,TZA,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,45.1
Tanzania,TZA,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,45.5
Tanzania,TZA,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,45.8
Tanzania,TZA,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,46.1
Tanzania,TZA,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,46.3
Tanzania,TZA,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,46.5
Tanzania,TZA,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,56.1
Tanzania,TZA,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,56.6
