Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uganda,UGA,2016,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,29.9
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,26.1
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,28.5
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,39.9
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,36.9
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,13.6
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,17.1
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,23.4
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,22.2
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,30
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,37.7
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,52.2
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,56.3
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,38.5
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,45
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,56
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,67.3
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,49
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,58.3
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,70.2
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,76.5
Uganda,UGA,2016,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,18.1
Uganda,UGA,2011,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,21.9
Uganda,UGA,2006,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,30.5
Uganda,UGA,2001,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,24.2
Uganda,UGA,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.88
Uganda,UGA,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.92
Uganda,UGA,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.54
Uganda,UGA,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.33
Uganda,UGA,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.61
Uganda,UGA,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15.09
Uganda,UGA,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15.14
