Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Somalia,SOM,2021,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.044
Somalia,SOM,2020,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2019,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.044
Somalia,SOM,2018,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2017,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.044
Somalia,SOM,2016,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.044
Somalia,SOM,2015,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2014,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2013,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2012,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2011,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045
Somalia,SOM,2010,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046
Somalia,SOM,2009,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046
Somalia,SOM,2008,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046
Somalia,SOM,2007,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2006,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2005,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2004,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2003,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2002,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2001,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047
Somalia,SOM,2000,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.048
