Country,Year,"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)"
Burundi,2022-01-01,15.7981475345411,16.272245900652,15.443327964985,15.8248341079998,13.9700476986738,14.2419538796454,10.8025012907153,10.9715913782169,7.9378221972213,8.0325324779155,6.80820355543911,6.84042380427271,6.64035662271813,6.61132415752626,6.11066246445717,6.0169258309715,4.81372088184753,4.68501708307383,3.26311328242393,3.15789440794235,2.38820864124279,2.27526436993145,1.77310380433526,1.63891117949878,1.44459171014001,1.27775252535707,1.18407526989435,0.994145144456822,0.806076764812403,0.626385883356105,0.472740862891356,0.328116562500757,0.343299453661393,0.204681306682712
Burundi,2021-01-01,16.1239618718596,16.6065153713558,15.8149227770176,16.1974271902148,13.7919070827149,14.0601025131479,10.4638996541933,10.6316471714529,7.82238642838979,7.91925460855042,6.95379501970669,6.98538910033175,6.76437911222014,6.73249209777101,6.14899103985219,6.04734341005933,4.60469754615411,4.48373066725975,3.15661530705236,3.05904278484531,2.32377872234302,2.21252783712406,1.7623591506002,1.62558534583826,1.46581327705819,1.29365802997728,1.20117694214998,1.00764050626899,0.783457107740939,0.601496906344345,0.475169663325488,0.330338686212909,0.342689297621446,0.205807773245102
Burundi,2020-01-01,16.5374813473841,17.0290882914793,16.1008933348663,16.482678350753,13.5182296945988,13.7802745821835,10.1247434947923,10.2923483157532,7.83065760805314,7.92985493189842,7.08721806771697,7.11558486064432,6.89169112040012,6.85646109129679,6.12784085484537,6.02128144616118,4.40428023958226,4.29298194919427,3.06108876431016,2.96995895064104,2.27079880932019,2.16076585909172,1.75958814536629,1.61976257207704,1.49144549292267,1.31425366997225,1.21905331448808,1.02240975544947,0.757000647179245,0.572923972723432,0.475841282235559,0.331676776394814,0.342147781938377,0.207694624286194
Burundi,2019-01-01,17.0462297845018,17.5494691631443,16.279871784582,16.6613536042922,13.2140134034271,13.4700042990846,9.81133037708844,9.9827154402965,7.75146474577632,7.85445647456737,7.37129131720106,7.39828525223954,7.00716153671228,6.96688381511697,6.03224447208957,5.92323606046406,4.22177856254264,4.12042832048302,2.98324906028867,2.89532492359539,2.22413118503953,2.11372792392894,1.76936607943069,1.62383755907,1.51536812606177,1.332215752294,1.20965260778255,1.00966564522406,0.750489920676325,0.562121433702313,0.474127840871089,0.330549390442731,0.33822919592814,0.205724942053972
Burundi,2018-01-01,17.6346202439057,18.1540678217652,16.3846161419074,16.7674113147433,12.9333156702726,13.1885209923572,9.51226635665347,9.69384047283024,7.72300060398687,7.83354546500932,7.62551985272185,7.65375587029376,7.09312365184587,7.04615838578767,5.88053841016218,5.77015983644749,4.03114168025796,3.93842567993981,2.92657284864006,2.83735138692388,2.18518199314284,2.07081951496872,1.79043158376341,1.63561280427322,1.53916475715047,1.34757600513289,1.17835298636703,0.972191040711662,0.760881824278683,0.566053631107238,0.471306651403203,0.327292628538953,0.329964743540475,0.197217149169434
Burundi,2017-01-01,18.1949680695545,18.7284579937032,16.3427042523375,16.7247504490332,12.6002487901832,12.8550831387847,9.26693176415544,9.45426601176769,7.94748098827608,8.06330886842914,7.77833568529154,7.80595442262341,7.18543763545256,7.13096591214516,5.69223400153259,5.58582738243714,3.88079774745706,3.79761782259492,2.86774048791162,2.77851734531562,2.16483038993881,2.04624158703655,1.81339313074026,1.65064246912103,1.56147194483743,1.36277879199164,1.14866881241158,0.935631484623284,0.763831226503582,0.565274532037448,0.468396219492182,0.32466989815771,0.322528853924049,0.190011890198207
Burundi,2016-01-01,18.6230202301463,19.1639566479603,16.0996200137495,16.4757241096325,12.1807138326132,12.4316423919937,9.1942406298142,9.37726724157618,8.24381098440859,8.35529286000179,8.03595766834527,8.06140611300336,7.3057642833305,7.24582554799116,5.49093961526802,5.3965376912573,3.7816929677614,3.71102979539709,2.8051690649485,2.7200935378293,2.15858102558074,2.03866941587212,1.84018195376476,1.67301683076253,1.58027659912852,1.3777709523286,1.11229046802616,0.894576612528548,0.764048591365021,0.565380185583388,0.464838079127833,0.323306857391331,0.318853992621549,0.188503208890828
Burundi,2015-01-01,18.8612559671937,19.3996638952436,15.6573467161583,16.0198655205018,11.7167773626351,11.9589568721956,9.32481423299664,9.49416046182448,8.62659234969403,8.7242023621322,8.37338277688533,8.39569191901154,7.39910291095769,7.34035494015719,5.32623155564198,5.25114807595065,3.71032839665283,3.65547758643701,2.76303018181546,2.68606537500681,2.1633495787284,2.04568994524199,1.87000965440093,1.70213185908413,1.59636504084188,1.39320872894881,1.07013037833397,0.8505724871564,0.760433174781458,0.565334591533093,0.460500406990189,0.323200063160625,0.320349315292059,0.194275316414055
Burundi,2014-01-01,19.0146050822167,19.551990092824,15.233364481292,15.583950113587,11.3597288738553,11.5965289523342,9.39274898578574,9.55219380182688,9.15183973123239,9.24597689132759,8.65403304959367,8.67420799957567,7.37868336265286,7.32339630567958,5.16901775641528,5.11218312440028,3.65223910482109,3.60784979189972,2.72595506888852,2.65408808415719,2.18376514470666,2.06446582791086,1.9018554878977,1.73092116250194,1.58258339953338,1.37660202236917,1.06156929960938,0.837320873004541,0.758219238855266,0.565667230581872,0.457023612697671,0.322600110963753,0.322768319946389,0.20005761505571
Burundi,2013-01-01,19.1733316222292,19.7190459945337,14.943945225917,15.2910413282026,11.1516228679687,11.3905833629552,9.5432729143648,9.708262857261,9.55649685814136,9.66190172872139,8.81133641625068,8.8316955847188,7.23631001963765,7.18347993151594,4.96786650028328,4.92343455645601,3.5996571150531,3.55645719865863,2.68980290366162,2.61522887526948,2.21695413117859,2.08868613515979,1.93911457980821,1.75936705528903,1.54882267345756,1.33347885797352,1.08264447231825,0.849390744791928,0.760396300303848,0.566651478029358,0.455552166553716,0.320830142526674,0.32287323287238,0.200464167937025
